source,cv_dataset,cv_split,filename,path,pdq_hex,pdq_quality,pdq_min_dist_to_kvasir,pdq_nearest_kvasir_file
cv2024,AIIMS,training,ulcer1_1.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1.jpg,00000000000100000001010001000100000100010000010101000000010100000000000000010000010101010101010100010101010001010001010001000001000100000001000101000101010101000101010100010100000100000100010000000001000001010101010001010100000001010100000001000101000001010101000001010100010101000101000001010100000001010000000000000101010001010100010101010100010000000100000000010000000101000000010101010100000101000100000000010000010000010101000001010001000101000000000001010100000001010000000100010100010001010000000001010000,100,76,bca26705313a4644_46212.jpg
cv2024,AIIMS,training,ulcer1_1024.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1024.jpg,00000000000100000001000001000001000000010100010001010000010100000000000000010001000101010100000100000100010001000101000100000101000100010000000101000101010101010100010101000100010101010001010000010001000101010100010001000100000101000101010100000101000100000101010101010100010101010100000100000101000100000101000000010101010101010100010101000100000100000001000000000101000100000000000001000101010101000100000100000001010001000001000100000100010000000001000000000001010100010000000000010101010001000100000001000001,100,78,fc32def0e7194981_22330.jpg
cv2024,AIIMS,training,ulcer1_1044.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1044.jpg,00000000000000010000010101000000000000000101010001010101010000010000000100010001000101010101000000010100010001010100000000000100000100000001000101010100010101010100010001010000010000010101000000010001000101000100010101000000010101010000010101000001000000010101010001000101010101000100000000000001010101000001000001010100010001010101010001000101010100010101000000010100010100010000000001000101010101010100000000000000000001010100010000000000010101010100000100000001000100000001000001000000000100010001010100010000,100,82,131368cc17e44240_31613.jpg
cv2024,AIIMS,training,ulcer1_1054.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1054.jpg,01000000000000010000010101000000000101000000010001000001010100000000000100010001000101010100000101000100010001000101000000000100000000010000000101000101010100000101010001010101000100010101000100010001010101010101010101000100010001010100010100010000000101010100010101010100010101000101000001010000000001010001000000010000010001010100010001000101010000010000010001010001000100010100000001000101010001010101010000000001010100000001010001000000000001000001000000010000000000000001000001000100010000000001000101000001,100,78,fb86bc87d3874cd7_10415.jpg
cv2024,AIIMS,training,ulcer1_1135.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1135.jpg,00000000000000000001010101000000000001000100010001010100000100000000000000010001000101010101000000000100010001000101000100010000000000000001000101010101010001010100010001000101000100010001000000010000000101010101010101000001010001010100000100010001000101000101010101000101010101000100000000010101000100010001000101010100010101000101010101000100000000010101000100010100000100000000010001000101010101000101000000010000000000010100000101000000010001000101000000000101000000000001000000000100010001010100010001000101,100,66,0728084c8da942d9_22974.jpg
cv2024,AIIMS,training,ulcer1_1165.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1165.jpg,00000000000000010001010101000000000001000100010001000101000101000000000000010001000101000101000101000100010001000100000100000000000000010001000101010101010101010100010001000101010100010001000000000001000101010101010101000001010101000101000100010001000101000101000101010101010101010101000000010101010100010001000101000100010101000100010101000100000000000001010000010101000000010000010001010000010101010100000000000000010000010101000000000000010000000000000101000000000100000001000000000100000001010100010001000101,100,68,df6b47bafe5143f5_14428.jpg
cv2024,AIIMS,training,ulcer1_1264.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1264.jpg,00000000000100010000010101010000000000000000010101010100000000010000000000010001010001010100010100010101010000000101000100000101000100000000000101010101010001010100010001010101010000010101010000010001000101010100010101000101010001000100010000010000000000000001000101010101010001000100000001000101010100010001000000000101010101010101010001010100000000010000000001010101000000000101000001000101010001000100010000010000010001000000000000010000000001010000000000010000000000010001000000010101000101010100010101000101,100,80,0728084c8da942d9_22926.jpg
cv2024,AIIMS,training,ulcer1_1284.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1284.jpg,01000000000000010001010101000000000000010100010001010001000000000000000100010000000001010101010100000100010001010101000101000001000000010001000101010100010001010100010001010100000100010000000000010001000101010101010101000101000101000101010100010001000001010000010001010100010001000100000101000100000100010001010100000100010101010101010001000100000100010000000101000001000100000000000101000100010001000100010100000000000001010101000100010000000101000000000000000001000100010000000001010100010101000001010001000101,100,70,df6b47bafe5143f5_13276.jpg
cv2024,AIIMS,training,ulcer1_1475.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1475.jpg,00000000000000010000010101010000000001000100010101010000010001010000000000010000000101000101010001000101010001010100000101000100000100000001000101010101010100000100010100010000000101010000010100000001000001000101010101000100000100000000010000010100000100000001010001000101010001010100010101010001010100000001010001000000010001000101010101010101000100000000000100010000010000010100000101010101010101010100000000000001000001000100010001000100000101000000000100010001000100010001000000010001000100010001000100010100,100,80,fb86bc87d3874cd7_7188.jpg
cv2024,AIIMS,training,ulcer1_153.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_153.jpg,00000001000000000100000101010000000000000101010000010100000100010000000000010001000001010100010001010001000001010101000001010001000100000000000101010101000101000000010101010100000000010100000000000000010101010100010001010001000100000101010101000100000001000100010100000101010101010100000100010001000000010101010001010000000101010101010001010101000001000100010101000100000001010100000101010000010001010100000000010000000101000001010101010000000001010000000101010000000100010000000100000100010000010001000101010000,100,80,5e59c7fdb16c4228_33148.jpg
