source,partition,cv_dataset,cv_split,filename,path,phash,dhash,min_phash_dist_to_kvasir,min_dhash_dist_to_kvasir,nearest_kvasir_file
cv2024,training_AIIMS,AIIMS,training,ulcer1_1.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1.jpg,919c463f90631f6e,f4b098d89856cee0,12,11,dac1e27f7e4d4ef5_14902.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1024.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1024.jpg,e04b05ae44b3177f,c0820307073d9edc,8,5,b2134f4a6f864613_10748.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1044.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1044.jpg,c49711f8070f5e3b,e4b265e7872392c4,12,11,0531325b64674948_10306.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1054.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1054.jpg,c44f11e2432f5eb9,c08233438387bedc,12,7,64440803f87b4843_18676.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1135.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1135.jpg,c56a11a815af56bd,c0800140c0e58edc,4,7,fb86bc87d3874cd7_25252.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1165.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1165.jpg,c06f118e156e47bd,c080c1c0e0e182dc,8,6,fb86bc87d3874cd7_30490.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1264.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1264.jpg,d16e15e317994369,d4a643c9ccc8b0f8,12,11,dc221ccc65d34010_84126.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1284.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1284.jpg,d06b15b107d95367,d0b241888c98b0f0,10,10,dc221ccc65d34010_84129.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_1475.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_1475.jpg,c035153243ce1fdf,d08263e1c101f1d0,10,10,c11b28a8b2344716_76280.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_153.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_153.jpg,d09d476310ce27db,f0b070b49d8de1f0,8,11,bca26705313a4644_23302.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_21.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_21.jpg,908f413d47631b7e,e0f0f0f030909ec4,10,8,131368cc17e44240_3211.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_275.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_275.jpg,c4a7155f07c74378,e8acc7c325e0b0f0,6,11,dac1e27f7e4d4ef5_7580.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_425.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_425.jpg,d58d8176523f0f38,d0f233292c22b6d8,12,13,4560e83f9afc4685_20365.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_514.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_514.jpg,95c5414a55ef127e,d0921c1e343d3bfc,10,10,dac1e27f7e4d4ef5_4887.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_554.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_554.jpg,95c7401957631ee7,f0f260607071baf4,10,9,8ebf0e483cac48d6_28638.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_564.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_564.jpg,943e4160129f5ffc,f436707cb4b6f2f0,10,9,6cb700585c4f4070_12958.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_569.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_569.jpg,9cdc412f16e7561c,f0b030307969aadc,12,10,4560e83f9afc4685_6529.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_77.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_77.jpg,d087417916cb5773,f0b271a69e3291f0,8,13,7ad22d50ebaf4596_6769.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_922.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_922.jpg,913f45f014ee4679,f85a3b3898dc98f0,8,13,5e59c7fdb16c4228_15490.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_952.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_952.jpg,8567149a47bd53b4,d69e8e4bedf9b2f0,10,12,8885668afb844852_8223.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_962.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_962.jpg,e06515be41b9576c,d082078baf29b2d8,10,11,3ada4222967f421d_5766.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer1_972.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer1_972.jpg,b4c205ab470f5e79,c4b63d0f0f3dbefc,12,10,131368cc17e44240_30949.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1.jpg,c193079c145b5b6f,fccedb979797c7e4,10,12,dac1e27f7e4d4ef5_7497.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1036.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1036.jpg,c43a15c507bd56f2,e4f3e1e3c5e0e0c0,10,9,64440803f87b4843_21378.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1045.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1045.jpg,c43f15e717b45292,e4f3f1e7e1c0c0c0,10,9,5e9beaf4e66142c8_49304.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1065.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1065.jpg,812d15d707d65ae3,fc3233e7c3c88cd8,10,12,fc32def0e7194981_88911.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1075.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1075.jpg,952f1cd052964bde,fc9ec7c68698b4f8,12,10,64440803f87b4843_13743.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1076.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1076.jpg,8533528e55d94767,e09ecf96f6f0f0f0,10,7,dc221ccc65d34010_49210.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_11.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_11.jpg,9db3415c467913e6,fcba9b132733b2e4,12,12,dac1e27f7e4d4ef5_7452.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_111.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_111.jpg,d13a05ed434b1fa5,cc9cd889ccf4f0f0,12,10,dc221ccc65d34010_48888.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1115.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1115.jpg,913e74e9527c4b61,fcf8f8f8f8f0f0f0,10,1,04a78ef00c5245e0_11232.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1246.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1246.jpg,859855635ac71e1f,f0f0f0e0e0c4caf0,12,6,c11b28a8b2344716_27412.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1255.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1255.jpg,84b3556e539946b3,f4f0f0f0e0e7f2f8,8,5,dc221ccc65d34010_49210.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1256.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1256.jpg,916e559552255e6e,fcf2f0f8f8fab2f8,12,6,64440803f87b4843_18381.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1324.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1324.jpg,91e5483f16d70e3c,f4b2f2cc9e3e98d8,12,10,bc84479c66fe4da6_24597.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1335.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1335.jpg,c167103933db5fe0,c0e2e0cc9611f0f0,12,9,64440803f87b4843_9623.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_1405.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_1405.jpg,912f50db07cc1b75,f4baf3e77a78b0f8,12,11,bc84479c66fe4da6_24637.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2045.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2045.jpg,c46a15966739172f,e0f080c9e4f0f0f0,10,6,04a78ef00c5245e0_21051.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2055.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2055.jpg,c067139b8567139f,f0b0c4e2f0f0f0f0,8,6,5e59c7fdb16c4228_33230.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2065.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2065.jpg,c15395b227231f7c,d0f0e0c9c4f1f0f0,14,8,3ada4222967f421d_5625.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2445.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2445.jpg,d07a018fc3277bc5,f0901038f070f0f0,14,6,ad91cf7ca91440aa_5958.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2744.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2744.jpg,959f45e0101f47e7,f0b0783894bcb8f0,8,10,6cb700585c4f4070_14798.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2764.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2764.jpg,943c41d758b547ce,f4faf0b43070f0f0,10,7,d7a271f233ba4a40_11106.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2774.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2774.jpg,913c44c157ee5e33,f4b63878f8f8f0f0,12,6,3ada4222967f421d_2323.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2804.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2804.jpg,856511bb54365bc7,fcf6e6666679f0f0,10,11,48579eec79784294_4549.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_2973.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_2973.jpg,842f51fa17ad5313,f0e666676130f0f0,8,13,5e9beaf4e66142c8_41066.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_401.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_401.jpg,956c51930787477d,d0ba26653e58d8d8,10,13,5e59c7fdb16c4228_26133.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_421.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_421.jpg,c54f45b211ae17e5,e0e273313a1c86e4,10,11,48579eec79784294_29814.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_431.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_431.jpg,cdcb103e06625bdd,f8d0f3e262733ef8,12,13,131368cc17e44240_31556.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_451.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_451.jpg,d443403f07e553f5,c4901c6d6d3d86c4,10,12,131368cc17e44240_5566.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_481.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_481.jpg,c5dc08a7557b031f,c0e6c0c4e64e86c0,12,9,07c1fa15a20a4398_38619.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_606.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_606.jpg,956f15c144bc1e57,cc1e3727cbc0f8fc,10,13,5bb1d3cc7dc64cec_13752.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_616.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_616.jpg,c16e4495946e537b,c4c6c3e79cdca2d0,10,9,0728084c8da942d9_11079.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_626.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_626.jpg,c1cb113e46664e9f,c8dae0e3e17598dc,12,11,04a78ef00c5245e0_11638.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_646.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_646.jpg,d16745e5007c4fe5,c8c850f8f8d898d0,12,7,8a00709108cd4e2b_11735.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_81.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_81.jpg,9437516c44db13e7,f0f8f8f066f0b0f0,8,6,8a00709108cd4e2b_8780.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_922.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_922.jpg,c41c156b556e5eb1,dcf4f4e4c7c3c2c8,10,10,5e59c7fdb16c4228_3417.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_925.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_925.jpg,c41c156b556e5eb1,dcf4f4e4c7c3c2c8,10,10,5e59c7fdb16c4228_3417.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer2_926.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer2_926.jpg,c437156b517c4ae6,dcdce4e4c3e3e4ec,10,11,07c1fa15a20a4398_1619.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_264.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_264.jpg,f14f0599564b4ab5,f0d6038e9e1a9ecc,14,9,8ebf0e483cac48d6_28610.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_434.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_434.jpg,c1c21522578d4ffb,c0d0e0e0c1c3f2f8,12,8,131368cc17e44240_31566.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_470.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_470.jpg,c1da113c568b17b7,f0f0c0c0e0e0d2d0,10,4,bca26705313a4644_13866.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_502.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_502.jpg,d15a406d17e25fc5,e471784c541282cc,12,13,7ad22d50ebaf4596_12549.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_741.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_741.jpg,949f457313c4531f,f0223838399db2e0,10,8,64440803f87b4843_18932.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_755.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_755.jpg,9cdc412f16e7561c,f0b030307969aadc,12,10,4560e83f9afc4685_6529.jpg
cv2024,training_AIIMS,AIIMS,training,ulcer3_759.jpg,<CV2024_ROOT>/Dataset/training/Ulcer/AIIMS/ulcer3_759.jpg,9cc555ca500f477b,f0b060b6b1f1bbfc,6,11,07c1fa15a20a4398_5047.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1016.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1016.jpg,947d493e449943cf,941edc9c2cfcf0f0,10,9,131368cc17e44240_4559.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1021.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1021.jpg,91754d3a768c5363,b0cad69c1cf8f0c0,12,10,b2134f4a6f864613_3952.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1031.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1031.jpg,a5a3526544364f7e,cccf5b4e46769ef0,12,12,bca26705313a4644_10062.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1037.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1037.jpg,a132544d47374ed7,dc9b8f8f43739ef0,12,12,d7a271f233ba4a40_10923.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1047.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1047.jpg,9377556c46354a9c,eccc590d4f13baf0,14,14,64440803f87b4843_18761.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1067.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1067.jpg,d233156d46335a75,ccdc4dcd45239ef8,14,13,b2134f4a6f864613_10590.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1087.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1087.jpg,d17cc59b12cc03e7,f0b058b41c78f0c0,12,11,48579eec79784294_29824.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1094.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1094.jpg,937a44ad579c49e1,a4d9993858f8f0c0,12,9,fb86bc87d3874cd7_25347.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_110.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_110.jpg,942741ff17d207c9,c8e6f4fc747c9cd0,12,10,64440803f87b4843_19365.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1105.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1105.jpg,d07cc59b12c50777,d0b0549c38f8f0c0,12,9,131368cc17e44240_4345.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1135.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1135.jpg,987a478c51cb4ec7,d01c98383070f2c4,10,11,64440803f87b4843_18749.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_115.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_115.jpg,942541ff07d207cf,d896f4f4743c98d0,10,9,3c8d5f0b90d7475d_4958.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1155.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1155.jpg,937244a9470f4f9e,c48c28d898d932e0,10,11,8885668afb844852_4009.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1175.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1175.jpg,937344b8433e5bc6,dcc85818d899f0e0,14,8,c7084b3556e34619_58565.jpg
cv2024,training_AIIMS,AIIMS,training,worm1_1195.jpg,<CV2024_ROOT>/Dataset/training/Worms/AIIMS/worm1_1195.jpg,96d249ed470fce24,d09ced6c4c64b6e6,14,13,48579eec79784294_18277.jpg
