source,cv_dataset,cv_split,filename,path,pdq_hex,pdq_quality,pdq_min_dist_to_kvasir,pdq_nearest_kvasir_file
cv2024,KID,training,angioectasia-P0-1.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-1.jpg,00010101010100000001000001010101010000000001000101000001000001000101010001000101000001000000010100000001000100000100010000010101010001000100000000010000010100000001000100000000010001010001010100000101000000010001010100010100000001010100010001010100000001000001000100010001000101010100000001010100010001010100000100010100000100010100000101000100010101000000010100010100000100000000010101000100010101000101010000000101010000000101010001010101010001000100010100000101010100000001000000000000000000000000000001010101,100,102,dac1e27f7e4d4ef5_9955.jpg
cv2024,KID,training,angioectasia-P0-2.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-2.jpg,00010100010001000001000101000001010000010001000000010100010101010100010001000001000100010100010000000100000101010100010100000001010001000100000100010000010001010001000100000100010100010000000000010100000100010001000001000101000100010000010001000101000100000001000100010001000101000100000100000100010001000100000001010100000100010100010101000100010000010100010001000100000100000001000101000100010001000100010001010001010000010101000100010101000100000100000001010001000101000001000100010001000000010100010101000101,100,90,3ada4222967f421d_2748.jpg
cv2024,KID,training,angioectasia-P0-5.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-5.jpg,00010101010001010000000101010101010001000000000101010000010000000101010001010000000100000101010001000100000000010101010100000000010001000100000000000001010001010000000100000001010000000100000100000000000100000001010001010100000101000001010101010100000001010000000000010001000101010100000101010101000000010100010101000001000100010101000101010101010000000101000000010100010001000001010001010101010001000101010001000001010000000101010000000000010001010101010000010000010000000001000000010001000000010101010100010000,100,100,fb86bc87d3874cd7_10740.jpg
cv2024,KID,training,angioectasia-P0-7.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-7.jpg,00010101010001000001000101000101010001000000000100010001010001010101010101010000000001010100010101010100000100010100010001000100010101000100000000000100010101000101000100000000000001000101000101000000000000000001010001010000000000000001000001000101010100000000000000000000000101010101010000010101010001010001010000010000000100010100010101010101010100000100010101000100010100010000000001010100010101000100010101000000000001000000010000000101000100010100010001000001010000000101000100000100000100000101000000010100,100,100,c11b28a8b2344716_76354.jpg
cv2024,KID,training,angioectasia-P0-8.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-8.jpg,00010101010001000001000001010100000001000000000101000001010001010101010101000100000101010101010100000001000100010000010100000001010001000100000000010000010000010000000000010000010101010000010101000000000000000001010101000100000001000100000001000101000001010000000000010001000101010101000001010101010000010001000100000000000100010001000101010100010000010101010100000100010101010100000101010101010101010101010101000000010000000001000101000000000001000001010000000001010000000001000101000000000101000100010101010000,100,102,dc221ccc65d34010_84122.jpg
cv2024,KID,training,angioectasia-P0-9.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P0-9.jpg,00010101010001000001000101000101010001000001000101000101010101000101010001000000000100000101010001010000000001000100010100000101010001000100000000010101010100000000000100000001010100000000010101000000000100000001010101000000000000000000010001000101010001010000000100000001000101010101010001000100010101000101010000000001000100000001010101000100010001010001010000000101000000010001010101000100010001010100010001000001010101000001000101010100000001000001010000000101000000000001000100000001010100000000010101000001,100,100,dac1e27f7e4d4ef5_9740.jpg
cv2024,KID,training,angioectasia-P1-1.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P1-1.jpg,00010101010001000001000001010000010001010000000001010101010100000101010101000000000001000101000001010000000000010001010000000101010101010100000000000101010100000000000100010000010001010000000101000000000000000001000101010000010101010000010101010001010001000001000100010001000101010100000000010101010100000100010000010100000100000001000001000101010001000100010001000000010101000001010101000101010001010101010000010001000000000100000100010000000100000101010001010101000101000000000001010101010000010100000000000001,100,104,fb86bc87d3874cd7_10734.jpg
cv2024,KID,training,angioectasia-P1-2.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P1-2.jpg,00010101010001000000000101000000010101010001000001000101010101000101010101000000000000010100010101010001000000000100000001010100010001000100000000000101010001000001000000010000010101010001010001000000000000010001000101000000000001000000010001000001010100000001000000010001000101010101010101010000010101000101010000010000000100010001010101010101010100000100010000000101010001010000010001010100010001000101010101000000010101000101010100010000000000000100010100010001000000000000000001000001000000000100010001000101,100,104,131368cc17e44240_31523.jpg
cv2024,KID,training,angioectasia-P1-3.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P1-3.jpg,00010101010100000001000000010100010001000000000101010100000101000101010001000000000101000101010001000000000000010101010000010000010001000100000000000000010100000000000000010101010000000101000101010100000100000000000101010000010101010101010101000101010000000000000000000000000101010100000000000101010001010101010100000001000100000101000101010101010000010101010101010100000000000000000101010100010101010100010001000001000000000000010000000001000101010001010001000000010000010000000001000101010100010101010101010100,100,98,04a78ef00c5245e0_17111.jpg
cv2024,KID,training,angioectasia-P1-8.jpg,<CV2024_ROOT>/Dataset/training/Angioectasia/KID/angioectasia-P1-8.jpg,00010101010100010000000001010001010101010000000001000000010100010101010101010001000000010101010100010000000001010001010001010000010101000100000000000001010001000001010100010000000001000101000001000000000000000000000101010000010101000000010101000101000100000000000100000001000101010100000001000000010101000100000100000101010100010000010001010100010100010001000001010000010100010000010001000100010101010101010101010000000000010001010101000000000101000001000000000001000100010000000001010101000001000101000101000101,100,100,fb86bc87d3874cd7_30616.jpg
