image_path,Dataset,Angioectasia,Bleeding,Erosion,Erythema,Foreign Body,Lymphangiectasia,Normal,Polyp,Ulcer,Worms
training\Normal\KVASIR\d369e4f163df4aba_8090.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\131368cc17e44240_4377.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\5e59c7fdb16c4228_9652.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image11240.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Erosion\SEE-AI\image11835.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Polyp\SEE-AI\image10533.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\48579eec79784294_4555.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8885668afb844852_22710.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image15851.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\bca26705313a4644_23262.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\dca1377dec974312_10441.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image01430.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_12835.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0728084c8da942d9_11202.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\b2134f4a6f864613_14393.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\5e59c7fdb16c4228_4323.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\5bb1d3cc7dc64cec_13697.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\131368cc17e44240_3201.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0531325b64674948_8332.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fb86bc87d3874cd7_25399.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8885668afb844852_24471.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\5bb1d3cc7dc64cec_7432.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fe5d372e43f94f68_2257.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\bca26705313a4644_9995.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_14214.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\KVASIR\8ebf0e483cac48d6_13425.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\dac1e27f7e4d4ef5_7365.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Bleeding\SEE-AI\image13299.jpg,SEE-AI,0,1,0,0,0,0,0,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_2776.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fc32def0e7194981_31402.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image09865.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Lymphangiectasia\KVASIR\04a78ef00c5245e0_12400.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\dc221ccc65d34010_16571.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\bca26705313a4644_12286.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image00023.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Lymphangiectasia\KVASIR\7ad22d50ebaf4596_27287.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_19161.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Normal\KVASIR\dca1377dec974312_10445.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8a00709108cd4e2b_8718.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Bleeding\KVASIR\d369e4f163df4aba_13410.jpg,KVASIR,0,1,0,0,0,0,0,0,0,0
training\Normal\KVASIR\dca1377dec974312_7915.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\bc84479c66fe4da6_24050.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fe5d372e43f94f68_2703.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\KVASIR\8ebf0e483cac48d6_11681.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\b2134f4a6f864613_4118.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Bleeding\KVASIR\d369e4f163df4aba_13437.jpg,KVASIR,0,1,0,0,0,0,0,0,0,0
training\Lymphangiectasia\KVASIR\04a78ef00c5245e0_12372.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\5bb1d3cc7dc64cec_16659.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18805.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Erosion\KVASIR\8ebf0e483cac48d6_13474.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Bleeding\SEE-AI\image02107.jpg,SEE-AI,0,1,0,0,0,0,0,0,0,0
training\Normal\KVASIR\48579eec79784294_5177.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\89cdd41258c542c5_4305.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image12748.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Erosion\SEE-AI\image09818.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Erosion\KVASIR\8ebf0e483cac48d6_13469.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18549.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image09978.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Polyp\SEE-AI\image07757.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\df6b47bafe5143f5_14357.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_14312.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\07c1fa15a20a4398_7303.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image12445.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image09598.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5626.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Normal\KVASIR\d369e4f163df4aba_6801.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_21376.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18491.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image00206.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image01672.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Polyp\KVASIR\131368cc17e44240_28995.jpg,KVASIR,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\0728084c8da942d9_23225.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_12849.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image15419.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\5e59c7fdb16c4228_9605.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8885668afb844852_24315.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_14416.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\5e59c7fdb16c4228_7951.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image10165.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Polyp\SEE-AI\image18284.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Erosion\KVASIR\d626f4f4a5ac4785_13422.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_22023.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\3c8d5f0b90d7475d_17010.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0531325b64674948_8456.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erythema\SEE-AI\image07997.jpg,SEE-AI,0,0,0,1,0,0,0,0,0,0
training\Normal\KVASIR\fc32def0e7194981_31458.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fc32def0e7194981_13691.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image05207.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_2730.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image07683.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Erythema\KVASIR\5e59c7fdb16c4228_35132.jpg,KVASIR,0,0,0,1,0,0,0,0,0,0
training\Erosion\SEE-AI\image11151.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\7ad22d50ebaf4596_6812.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\3c8d5f0b90d7475d_7140.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fe5d372e43f94f68_2592.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image02579.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\eb0203196e284797_7101.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\89cdd41258c542c5_4185.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image09667.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\89cdd41258c542c5_9847.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image17810.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\fb86bc87d3874cd7_8678.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0728084c8da942d9_5462.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
