image_path,Dataset,Angioectasia,Bleeding,Erosion,Erythema,Foreign Body,Lymphangiectasia,Normal,Polyp,Ulcer,Worms
training\Worms\AIIMS\worm2_835.jpg,AIIMS,0,0,0,0,0,0,0,0,0,1
training\Normal\KVASIR\07c1fa15a20a4398_1499.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\bc84479c66fe4da6_24274.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image13419.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Bleeding\SEE-AI\image13339.jpg,SEE-AI,0,1,0,0,0,0,0,0,0,0
training\Polyp\SEE-AI\image12637.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18515.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_21375.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image01708.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\fb86bc87d3874cd7_13379.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\39960e5e099a45ca_23822.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Lymphangiectasia\KVASIR\7ad22d50ebaf4596_31255.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\dca1377dec974312_7885.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\89cdd41258c542c5_13132.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_14392.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0531325b64674948_9973.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0728084c8da942d9_20148.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8885668afb844852_20770.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0728084c8da942d9_10998.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Foreign Body\KVASIR\3ada4222967f421d_10730.jpg,KVASIR,0,0,0,0,1,0,0,0,0,0
training\Lymphangiectasia\KVASIR\7ad22d50ebaf4596_31203.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\3ada4222967f421d_5642.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image08855.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\d369e4f163df4aba_8257.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\dca1377dec974312_10422.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Bleeding\SEE-AI\image16014.jpg,SEE-AI,0,1,0,0,0,0,0,0,0,0
training\Normal\KVASIR\8885668afb844852_17638.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\d7a271f233ba4a40_6385.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Lymphangiectasia\KVASIR\7ad22d50ebaf4596_28947.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_21849.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\KVASIR\bca26705313a4644_18180.jpg,KVASIR,0,0,1,0,0,0,0,0,0,0
training\Erythema\SEE-AI\image01887.jpg,SEE-AI,0,0,0,1,0,0,0,0,0,0
training\Erosion\SEE-AI\image17123.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Erosion\SEE-AI\image10931.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\8885668afb844852_17703.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18381.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Normal\KVASIR\c11b28a8b2344716_46601.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Polyp\SEE-AI\image18217.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Polyp\SEE-AI\image01637.jpg,SEE-AI,0,0,0,0,0,0,0,1,0,0
training\Normal\KVASIR\fe5d372e43f94f68_2277.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\dac1e27f7e4d4ef5_14929.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image17889.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\ed02f27ef36f483e_13768.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\b2134f4a6f864613_21102.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_8939.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\8885668afb844852_20719.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\89cdd41258c542c5_12919.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\64440803f87b4843_5838.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_22030.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\3c8d5f0b90d7475d_11325.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image05335.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\3ada4222967f421d_5738.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\6cb700585c4f4070_12855.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image05313.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
