image_path,Dataset,Angioectasia,Bleeding,Erosion,Erythema,Foreign Body,Lymphangiectasia,Normal,Polyp,Ulcer,Worms
training\Angioectasia\KID\angioectasia-P0-1.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-5.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-7.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-9.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-1.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-3.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-9.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-3.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-4.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-5.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-6.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-7.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11609.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11612.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11627.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11631.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11636.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2718.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2720.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2722.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2723.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4374.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4375.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4376.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4378.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4380.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5614.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5618.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5621.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5623.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5625.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5628.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5636.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5637.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5640.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18236.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18324.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18379.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18383.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18384.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18386.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18389.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18423.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18428.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18430.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18466.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18469.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18481.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18485.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18492.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18494.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18495.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18504.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18506.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18512.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18513.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18519.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18523.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18532.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18540.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18547.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18549.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18553.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18563.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18572.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\64440803f87b4843_18583.jpg,KVASIR,1,0,0,0,0,0,0,0,0,0
