image_path,Dataset,Angioectasia,Bleeding,Erosion,Erythema,Foreign Body,Lymphangiectasia,Normal,Polyp,Ulcer,Worms
training\Normal\SEE-AI\image14181.jpg,SEE-AI,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0531325b64674948_9965.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Lymphangiectasia\SEE-AI\image15720.jpg,SEE-AI,0,0,0,0,0,1,0,0,0,0
training\Erythema\SEE-AI\image17941.jpg,SEE-AI,0,0,0,1,0,0,0,0,0,0
training\Erosion\SEE-AI\image00726.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\fc32def0e7194981_13695.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_2609.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\7ad22d50ebaf4596_12379.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\0728084c8da942d9_20214.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fc32def0e7194981_13702.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\fc32def0e7194981_22309.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\ed02f27ef36f483e_14073.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Ulcer\KVASIR\7a47e8eacea04e64_52012.jpg,KVASIR,0,0,0,0,0,0,0,0,1,0
training\Normal\KVASIR\3c8d5f0b90d7475d_11172.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\64440803f87b4843_7685.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\SEE-AI\image08555.jpg,SEE-AI,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\4560e83f9afc4685_6561.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Erosion\SEE-AI\image13371.jpg,SEE-AI,0,0,1,0,0,0,0,0,0,0
training\Normal\KVASIR\39960e5e099a45ca_23865.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\bc84479c66fe4da6_23547.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Bleeding\SEE-AI\image08089.jpg,SEE-AI,0,1,0,0,0,0,0,0,0,0
training\Lymphangiectasia\SEE-AI\image18012.jpg,SEE-AI,0,0,0,0,0,1,0,0,0,0
training\Normal\KVASIR\fe5d372e43f94f68_2730.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Normal\KVASIR\df6b47bafe5143f5_9931.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
