image_path,Dataset,Angioectasia,Bleeding,Erosion,Erythema,Foreign Body,Lymphangiectasia,Normal,Polyp,Ulcer,Worms
training\Angioectasia\KID\angioectasia-P0-1.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-5.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-7.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P0-9.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-1.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-3.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P1-9.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-2.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-3.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-4.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-5.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-6.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-7.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KID\angioectasia-P2-8.jpg,KID,1,0,0,0,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11602.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11603.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11605.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11606.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11607.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11609.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11610.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11611.jpg,KVASIR,0,0,0,0,0,0,0,0,1,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11612.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11627.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11628.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11629.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11631.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11632.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11635.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11636.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11639.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_11640.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2718.jpg,KVASIR,0,0,0,0,0,1,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2720.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2721.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2722.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_2723.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4374.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4375.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4376.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4378.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4380.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4382.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4386.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4387.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4388.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4389.jpg,KVASIR,0,0,0,1,0,0,0,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4390.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4391.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4766.jpg,KVASIR,0,0,0,0,0,0,0,1,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_4768.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5612.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5613.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5614.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5617.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5618.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5619.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5620.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5621.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5622.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5623.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5624.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5625.jpg,KVASIR,0,0,0,0,0,0,0,0,1,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5626.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5628.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
training\Angioectasia\KVASIR\04a78ef00c5245e0_5630.jpg,KVASIR,0,0,0,0,0,0,1,0,0,0
